"Name","NetR","MonthlyR","AvgR","Trades","TradesPerMonth","Wins","Stops","Timeouts","Touch1R","BacktestId"
"AM_long_min0p5_t1p5_2021_2022","7.5","0.62","0.11","70","5.8","31","39","0","43","09b91eb870109e95fc1693007058bb07"
"AM_long_min0p5_t1p5_2022_2023","13.5","1.12","0.18","74","6.2","35","39","0","46","38e31d587a76289fc7ef7de8b049954a"
"AM_long_min0p5_t1p5_2023_2024","10.97","0.91","0.14","77","6.4","35","41","1","43","57bbe9752915b0f018958f019dd9341e"
"AM_long_min0p5_t1p5_2024_2025","18.72","1.56","0.27","70","5.8","35","34","1","44","e5ed5dcfeaa3a4470e3300dcd4bea6f2"
"AM_long_min0p5_t1p5_2025_2026","34.24","2.85","0.44","77","6.4","44","32","1","49","d68ef22f8a13ee4765b75352b231ab73"
