"variant","barMinutes","triggered","tradesPerMonth","win2R","stops","timeouts","touch1R","netR","avgR","backtestId"
"long_swing_h_room_0p25_bar2_target_2p00_hold120m_trig16m_block13_5y","2","427","7.1","142","278","7","221","13.69","0.03","98f8f7bd878270d64f77258cd19c4374"
"long_swing_h_room_0p25_bar3_target_2p00_hold120m_trig15m_block13_5y","3","259","4.3","73","172","14","127","-13.38","-0.05","6bf2ce240059166417ee070283c82b03"
