"variant","netR","monthlyR","avgR","trades","tradesPerMonth","wins","stops","timeouts","touch1R","backtestId"
"long_pdh_swing_h_room_0p50_target_2p50_hold36_block13_5y","52.87","0.88","0.37","144","2.4","35","67","42","83","117befdd9686d90a779bd7f9aed736c8"
"long_swing_h_room_0p25_target_2p50_hold36_block13_5y","50.26","0.84","0.52","97","1.6","28","41","28","60","87baf659839a48400e5093b8b34d2677"
"long_pdh_swing_h_room_0p25_target_2p00_hold24_block13_5y","45.14","0.75","0.38","119","2","35","48","36","70","5f8ec561db4aa9352ce924b9fe466dba"
"long_pdh_swing_h_room_0p25_target_1p50_hold24_block13_5y","37.05","0.62","0.31","119","2","53","47","19","69","7980edbf334cf068f48102af56b41cc6"
"long_pdh_swing_h_room_0p50_target_1p50_hold24_block13_5y","36.76","0.61","0.25","146","2.4","61","61","24","80","038152c950910260d351b0bfb9bcb69f"
"long_pdh_swing_h_room_1p00_target_1p50_hold24_block13_5y","35.37","0.59","0.23","157","2.6","60","67","30","84","1358fc1ace06a90eb54c2013aad652ab"
"long_swing_h_room_0p25_target_1p50_hold24_block13_5y","34.55","0.58","0.35","100","1.7","46","39","15","58","f56c424328222139e012744b36bef6c8"
"long_swing_h_room_0p50_target_1p50_hold24_block13_5y","34.26","0.57","0.28","122","2","52","50","20","67","44a3fb63b71a48a41eaa188c68bd20bf"
