"period","triggered","tradesPerMonth","win2R","stops","timeouts","touch1R","netR","avgR","backtestId"
"2021_2022","39","3.3","9","18","12","21","7.80","0.20","9f47dd27b4f7c1488cd6ffd217704104"
"2022_2023","33","2.8","10","14","9","18","9.81","0.30","d8353ca3e9ba58ec705b4b71908669a3"
"2023_2024","36","3.0","12","13","11","23","15.50","0.43","06c22b22a3c29f96ebdbe8645f6bdc4b"
"2024_2025","31","2.6","11","14","6","21","15.60","0.50","6cc202db4fe0957655c76937435ddea2"
"2025_2026","38","3.2","11","16","11","21","12.97","0.34","e0dd25b6524e840fb68061b96b328713"
