"variant","netR","monthlyR","avgR","trades","tradesPerMonth","wins","stops","timeouts","touch1R","backtestId"
"accepted_15m_confirm3_range0p75_2p5_t1p5_hold24","13.04","0.22","0.01","923","15.4","325","504","94","488","c0ed0166c55603e9389f4acf0ca8bbca"
"accepted_30m_range0p5_2p0_t1p5_hold24","-2.83","-0.05","-0.01","399","6.6","142","228","29","214","1208b655dd7566343a2cea95aa8aa3bd"
"accepted_15m_range0p75_2p0_t1p5_hold18","-20.76","-0.35","-0.03","826","13.8","283","471","72","463","86ab02baa77334f46204571721a95ed8"
"accepted_15m_range1p0_2p5_t1p5_hold24","-32.22","-0.54","-0.03","1014","16.9","364","595","55","569","c07ba14b78a0b180e9e32040ac79831a"
"failed_15m_range0p75_2p5_t1p0_hold12","-48.44","-0.81","-0.06","860","14.3","376","426","58","418","ea689660a0e6851f43254223da54a0ea"
"accepted_15m_range0p5_2p5_t1p0_hold12","-85.68","-1.43","-0.08","1030","17.2","440","525","65","558","d245e5c6c5a3a8576e5f820033ae517b"
