"Name","NetR","MonthlyR","AvgR","Trades","TradesPerMonth","Wins","Stops","Timeouts","Touch1R","BacktestId"
"OD_30m_min0p6_t2_5y","3.79","0.06","0.01","730","12.2","185","428","117","356","c51c890661b88f602f737a6e4cc77efb"
"OD_30m_min0p8_t2_5y","3.79","0.06","0.01","730","12.2","185","428","117","356","5de3799289db2efb7f7b70dab9c01fdf"
"OD_30m_min1p0_t2_5y","-0.21","-0","-0","728","12.1","183","428","117","354","fff3aac62d88d97fe587f1cfb99c9ad0"
"OD smoke 1mo","-6.2","-0.1","-0.41","15","0.2","2","11","2","6","2055fa5e315503d3ae620f2d4444bc47"
"OD_15m_min1p0_t2_5y","-43.69","-0.73","-0.07","662","11","159","413","90","322","0f7742780b3a9ecf1a6592fadbe7114f"
"OD_15m_min0p8_t2_5y","-49.21","-0.82","-0.07","679","11.3","162","426","91","328","40b9f2eef09126b122101ceb76c58ae3"
"OD_15m_min0p6_t2_5y","-50.55","-0.84","-0.07","685","11.4","163","430","92","330","ef877a890b4735719a1dba23d5310813"
